name	status	lineage	predecessor	n_covered	pct_bmp_assigned	fonttools_cmap_n	path	url	notes
JetBrains Mono	url	embedded-ghostty	JetBrains Mono + Nerd Font patch	4496	7.25	4489	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/JetBrainsMonoNerdFont-Regular.ttf	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/JetBrainsMonoNerdFont-Regular.ttf	Ghostty fallback for Control Pictures etc. AppKit name 'JetBrains Mono' silently becomes Helvetica unless this TTF is loaded by URL.
JetBrains Mono NoNF	url	embedded-ghostty	JetBrains Mono (unpatched)	1324	2.13	1317	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/JetBrainsMonoNoNF-Regular.ttf	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/JetBrainsMonoNoNF-Regular.ttf	Embedded without Nerd PUA. Useful to see which Control Pictures / PUA are the patch.
JuliaMono	url	embedded-ghostty		7485	12.07	7494	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/JuliaMono-Regular.ttf	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/JuliaMono-Regular.ttf	Ghostty embedded; strong Unicode / math coverage for a mono.
Lilex	url	embedded-ghostty		937	1.51	929	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/Lilex-VF.ttf	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/Lilex-VF.ttf	
Monaspace Neon	url	embedded-ghostty	GitHub Monaspace	495	0.80	487	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/MonaspaceNeon-Regular.otf	/Users/josephwecker-v2/src-ext/ghostty/src/font/res/MonaspaceNeon-Regular.otf	
Noto Color Emoji	missing	noto		0	0.00		/Users/josephwecker-v2/src-ext/ghostty/src/font/res/NotoColorEmoji.ttf		
Apple Symbols	ok	apple-system		2848	4.59	2844	file:///System/Library/Fonts/Apple%20Symbols.ttf	file:///System/Library/Fonts/Apple%20Symbols.ttf	Likely the cleanest Apple-native coverage for circled alphanumerics / geometric. Candidate to unify U+2460–24FF.
STIX Two Math	ok	math		3616	5.83	3607	file:///System/Library/Fonts/Supplemental/STIXTwoMath.otf	file:///System/Library/Fonts/Supplemental/STIXTwoMath.otf	Partial enclosed alphanumerics in the current Ghostty mix (23 of 160).
Arial Unicode MS	ok	pan-unicode-dump	Bitstream Cyberbit / Monotype pan-CJK+legacy, Microsoft 2002	38924	62.75	38917	file:///System/Library/Fonts/Supplemental/Arial%20Unicode.ttf	file:///System/Library/Fonts/Supplemental/Arial%20Unicode.ttf	Largest single fallback on this machine (~14k Ghostty cps). Coverage is real but the outlines are a dump, not a designed family. Mixing it with Monaspace/STIX inside one block is the Enclosed Alphanumerics problem.
LastResort	url	last-resort		62032	100.00	65536	/System/Library/Fonts/LastResort.otf	/System/Library/Fonts/LastResort.otf	Apple last-resort. Treat a hit here as missing, not coverage.
